Categoría;;Código;Producto;Opcion;Precio;Promoción;Stock
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-04-26t112225-610-e0261e85e363574e3e17144872808707-1024-1024.webp"")";3970;Barrita proteica 46 g caja X12 - Mervick;Frutos Rojos;13454;;31
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-04-26t112225-610-e0261e85e363574e3e17144872808707-1024-1024.webp"")";4518;Barrita proteica 46 g caja X12 - Mervick;Lemon Pie;13454;;22
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-04-04t203939-6071-124c40732848bd4ab316806517650187-1024-1024.webp"")";48000;Proteina XT GOLD 1 kg - HTN;Chocolate;58418.9;;24
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-04-04t203939-6071-124c40732848bd4ab316806517650187-1024-1024.webp"")";526;Proteina XT GOLD 1 kg - HTN;Frutilla;58418.9;;12
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2023-04-04t203939-6071-124c40732848bd4ab316806517650187-1024-1024.webp"")";49000;Proteina XT GOLD 1 kg - HTN;Vainilla;58418.9;;24
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/advanced-whey-protein-2-lb1-1b7d4e1370deb66d6916710538616389-1024-1024.webp"")";923;Advanced Whey Protein 2 LB - XTRENGHT;Banana;51450;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/advanced-whey-protein-2-lb1-1b7d4e1370deb66d6916710538616389-1024-1024.webp"")";62000;Advanced Whey Protein 2 LB - XTRENGHT;Chocolate;51450;;6
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/advanced-whey-protein-2-lb1-1b7d4e1370deb66d6916710538616389-1024-1024.webp"")";3029;Advanced Whey Protein 2 LB - XTRENGHT;Cookies;51450;;10
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/advanced-whey-protein-2-lb1-1b7d4e1370deb66d6916710538616389-1024-1024.webp"")";63000;Advanced Whey Protein 2 LB - XTRENGHT;Frutilla;51450;;8
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/advanced-whey-protein-2-lb1-1b7d4e1370deb66d6916710538616389-1024-1024.webp"")";61000;Advanced Whey Protein 2 LB - XTRENGHT;Vainilla;51450;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/pro-salts-60-tab1-76da81bc9044f7aa5016711329746028-1024-1024.webp"")";409;Pro Salts 60 CAPS - NUTREMAX;OPCIÓN;7200;;73
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/best-whey-protein-2-lb1-43ff9cb286093c30b916710539665738-1024-1024.webp"")";60000;Best Whey Protein 2 LB - XTRENGHT;Banana;42750;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/best-whey-protein-2-lb1-43ff9cb286093c30b916710539665738-1024-1024.webp"")";57000;Best Whey Protein 2 LB - XTRENGHT;Chocolate;42750;;3
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/best-whey-protein-2-lb1-43ff9cb286093c30b916710539665738-1024-1024.webp"")";848;Best Whey Protein 2 LB - XTRENGHT;Cookies;42750;;11
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/best-whey-protein-2-lb1-43ff9cb286093c30b916710539665738-1024-1024.webp"")";59000;Best Whey Protein 2 LB - XTRENGHT;Frutilla;42750;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/best-whey-protein-2-lb1-43ff9cb286093c30b916710539665738-1024-1024.webp"")";58000;Best Whey Protein 2 LB - XTRENGHT;Vainilla;42750;;0
Destacados;"=IMAGE(""https://bunny-cdn.ventasxmayor.com/6063/public/acdn-us.mitiendanube.com/stores/002/636/275/products/diseno-sin-titulo-2024-07-15t104203-425-494beb22de1b7a0e6a17210604733009-1024-1024.webp"")";4106;Energy Gel Amino CON CAF x 32 g x 12 unidades - ULTRA TECH;Arandanos;16800;;0
